start_time,close,high,low,open,volume
25/12/2020,24712.47,24789.86,23433.6,23728.99,79519.943569
26/12/2020,26493.39,26867.03,24500.0,24712.47,97806.513386
27/12/2020,26281.66,28422.0,25700.0,26493.4,148455.586214
28/12/2020,27079.41,27500.0,26101.0,26281.54,79721.742496
29/12/2020,27385.0,27410.0,25880.0,27079.42,69411.592606
30/12/2020,28875.54,28996.0,27320.0,27385.0,95356.057826
31/12/2020,28923.63,29300.0,27850.0,28875.55,75508.505152
01/01/2021,29331.69,29600.0,28624.57,28923.63,54182.925011
02/01/2021,32178.33,33300.0,28946.53,29331.7,129993.873362
03/01/2021,33000.05,34778.11,31962.99,32176.45,120957.56675
04/01/2021,31988.71,33600.0,28130.0,33000.05,140899.88569
05/01/2021,33949.53,34360.0,29900.0,31989.75,116049.997038
06/01/2021,36769.36,36939.21,33288.0,33949.53,127139.20131
07/01/2021,39432.28,40365.0,36300.0,36769.36,132825.700437
08/01/2021,40582.81,41950.0,36500.0,39432.48,139789.957499
